YEAR,ISL,CEU,ALA,ASW,SA2,WNA,ACN,ACS,GRL,SJM,SCA,RUA,ASN,CAU,ASC,ASE,TRP,SA1,NZL,ANT
1915,,0.9967822835392426,,,,,,,,,,,,,,,,,,
1916,,1.1535500173468958,,,,,,,,,,,,,,,,,,
1917,,-0.00421134942510836,,,,,,,,,,,,,,,,,,
1918,,0.77764292920219,,,,,,,,,,,,,,,,,,
1919,,0.05361244807385718,,,,,,,,,,,,,,,,,,
1920,,0.2354101258142584,,,,,,,,,,,,,,,,,,
1921,,-2.0944796324790067,,,,,,,,,,,,,,,,,,
1922,,0.28613970822638585,,,,,,,,,,,,,,,,,,
1923,,0.09642669704662335,,,,,,,,,,,,,,,,,,
1924,,0.6155825934866221,,,,,,,,,,,,,,,,,,
1925,,0.3881270775650758,,,,,,,,,,,,,,,,,,
1926,,0.2429444334923828,,,,,,,,,,,,,,,,,,
1927,,0.4246511020152937,,,,,,,,,,,,,,,,,,
1928,,-0.856405125563085,,,,,,,,,,,,,,,,,,
1929,,-1.0999708324841493,,,,,,,,,,,,,,,,,,
1930,,-0.11456820638920881,,,,,,,,,,,,,,,,,,
1931,,0.6801241814610391,,,,,,,,,,,,,,,,,,
1932,,-0.920592560483846,,,,,,,,,,,,,,,,,,
1933,,0.43785883852689195,,,,,,,,,,,,,,,,,,
1934,,-0.2354694088351556,,,,,,,,,,,,,,,,,,
1935,,0.4781834341273512,,,,,,,,,,,,,,,,,,
1936,,0.3128662566844468,,,,,,,,,,,,,,,,,,
1937,,0.25359625496276417,,,,,,,,,,,,,,,,,,
1938,,0.05107904985098395,,,,,,,,,,,,,,,,,,
1939,,-0.23131245979009085,,,,,,,,,,,,,,,,,,
1940,,0.8053815277295789,,,,,,,,,,,,,,,,,,
1941,,0.9073829242137128,,,,,,,,,,,,,,,,,,
1942,,-0.9833036233932726,,,,,,,,,,,,,,,,,,
1943,,-0.22557665938434412,,,,,,,,,,,,,,,,,,
1944,,-0.021945994855463915,,,,,,,,,,,,,,,,,,
1945,,0.058708916787626575,,,,,,,,,,,,,,,,,,
1946,,0.304871086281942,-0.372726359718448,,,0.20656653578997225,,,,-0.6046729003179193,-0.5572100846864938,-0.5008103269704911,,,,,,,,
1947,,-2.354338345044165,0.027044775421443262,,,0.666888190110493,,,,-1.248409589445046,-1.9615405242253428,-1.1484667091007033,,,,,,,,
1948,,1.2467086731627153,0.18683121789637347,,,0.851053781688344,,,,-0.4849049813991187,-0.3715539189043075,-0.3801031489544847,,,,,,,,
1949,0.22361804529733795,-1.1403893699387433,0.5966315518277482,,,1.3228450452328235,,,,-0.062413866950354245,0.5495503265683032,0.04512716124533171,,,,,,,,
1950,-0.12897089175950524,-1.1118012162872848,-0.5135656382957529,,,0.04570162951106536,,,,-0.7061739835140396,-0.4327918168812665,-0.6025344306538097,,,,,,,,
1951,-0.308829551251164,0.03500317260041657,-0.6737810165771657,,,-0.13845013115989108,,,,-0.715960119535836,-0.46596844825046013,-0.612263271885636,,,,,,,,
1952,0.30298513453812864,-0.724270210478957,-0.17423724496418858,,,0.4367882936146571,,,,-0.32711442916272077,0.3662250019806541,-0.22086852420854722,,,,,,,,
1953,-0.5317971948509266,-0.17113221792240466,-0.22568597978658647,,,-0.42509972079687924,,,,-0.5962743355634484,-0.5272390435881551,-0.49157469332879306,,-0.577312390531674,,,,,,
1954,-0.47414778178585754,0.020343479471761176,0.002719441748390289,,,0.24884941381707704,,,,-0.7933995068553885,-0.6649968714748735,-0.6897904666854631,,-0.42366702433894854,,,,,,
1955,-0.27255565216086847,0.679719205047682,1.1693732376289268,,,0.5381001562689769,,,,-0.519849318713371,-0.2562058195237709,-0.41439037636898807,,-0.2124492371125354,,,,,,
1956,-0.042172835774849475,0.11042601167576448,-0.25595265130616396,,,0.2702395771304766,,,,-0.49125498161203646,-0.051784654396581496,-0.38546743222564633,,-0.2977818633504822,,,,,,
1957,0.11624267417209518,0.2204579142977747,0.10384731120454983,0.28438815876111306,,-0.033211273971884406,,,,-0.5106969987563823,0.052630016283321555,-0.4048753864278226,-0.32193037337828906,-0.3225193958401493,0.19085080507783225,-0.16033761498926247,,,,
1958,0.022765777748494215,-0.2512795450182496,-0.06114490719950286,0.7644034534621921,,-2.7653663572121894,,,,-0.5301452799106746,-0.03745867023040585,-0.4242859844113786,0.1568536740100294,-0.7009876736326087,0.670923730494746,0.3197327227281714,,,,
1959,-0.8407881317441362,-0.4637376358893229,-0.14495061638184129,0.014722961498375535,,0.5802384952492389,,,,-0.7176995903071766,-0.8776622579938294,-0.6128487008311577,-0.277083876446351,-0.6735561891251,0.20130735526196689,-0.12496123178415883,,,,
1960,-0.7039540856498319,0.37558758996473063,-0.2031824193146838,0.33443471897120236,,-0.47572177475670346,-0.4672751909312179,-0.7159597008080442,-0.7103054445274174,-1.1213866466841214,-1.1453899762763324,-1.0188920636769314,-0.2746325815315288,-0.2871157148506989,0.23965444263836333,-0.11166369810631342,,,,
1961,-0.2936299689905178,0.40007700442044214,0.24375104208056245,-0.1252337842711336,,-0.9436283381267891,-0.04631946504736676,-0.30532790570782425,-0.06429366302894125,-0.7277921969731804,-0.46442898850978925,-0.6226873606062253,-0.40712478701014704,-0.28406906712743174,0.07093267136210275,-0.25449218978640564,,,,
1962,0.5988978145724385,-0.3060061078881769,-0.02297209791651675,-0.2552216496043656,,0.15864057179382152,-0.644535526552027,-0.8626670117952434,-0.7169360761971373,-0.14207743696360506,0.9738559230772714,-0.033172375960546355,-0.5377702722735096,-0.6152101335432912,-0.06087955768226837,-0.3864707482316541,,,,
1963,-0.8380846549842996,-0.0396520526346006,0.4903750480812217,0.8744170216919678,,-1.0869534307161137,-0.028006255612062207,-0.25519191580886175,0.17868570186535374,-0.4448899028137349,-0.553303755527879,-0.3377358912970634,0.20179544335740768,-0.5864118683521758,0.7240284150600593,0.36774755165631257,,,,
1964,-0.01284876645845329,-0.720634082577754,1.204661850746269,0.954269268687875,,1.1889949967426479,0.3530790366787786,0.10660468689670219,0.5733048627062883,-0.14252114026290108,0.3851998344099228,-0.0333654059605577,0.11569060142458565,-0.8028225368536717,0.6563897786957754,0.28697295993633365,,,,
1965,0.08594644409349723,0.9094958923864024,0.5351260467841301,0.4147504302110368,,-0.11581060885576884,0.1163093365769775,-0.11450360872760597,0.339872124670094,-0.10908871422987289,0.5790581750045751,0.0003623160733680386,0.062171803938667454,0.24878807879277867,0.5483183695909579,0.21729022315963384,,,,
1966,-0.6708331427653814,0.8422684191796529,-0.42814472043413554,0.49433973780471974,,0.018175518361369294,-0.013186337382409697,-0.25800324344323117,0.02963762056209083,-0.6135455319686598,-0.5890371485183762,-0.5071918863546113,-0.2994004227529157,-0.039620582776831344,0.23638983613091472,-0.12952596185373016,,,,
1967,0.3895098206268741,0.30485839705894924,-0.39619837422354476,0.6644266982368534,,-0.4292556748861694,0.11225958859477314,-0.12439554803596424,0.1703793224065374,-0.3314379567302032,0.6622188299779435,-0.22451185790936667,-0.058086444179656076,-0.21352847891012053,0.46996976433332033,0.10966293991377679,,,,
1968,0.062016811140608585,0.6623857909439538,-0.28837915516101936,-0.3177215940396288,,0.31697663528340536,-0.08244632082522949,-0.29801404615934585,0.04380650250548186,0.19942173494040702,0.08992279363807876,0.306358543160351,-0.7350697227750004,0.15367953369606557,-0.27137317287903445,-0.578504767540386,,,,
1969,-1.2244607571658608,0.4099420358949366,0.09768145871566017,0.5497841278420701,,-0.04880496000272695,0.07769009634346975,-0.16894713270982648,0.07504255744388133,-0.6205220036991934,-1.223161043090861,-0.5137535751309902,0.04848968213781013,-1.0363885642437445,0.4813466667356092,0.21257687290924432,,,,
1970,-0.6369269292623864,0.06332988305381777,0.5273933006046957,0.2378073444681699,,-1.0015310956999164,0.038016177742596996,-0.20927884068900446,0.2696664394140034,-0.27080895587248854,-1.0049408654740146,-0.16390921686167467,-0.23935095970080897,0.4635355946269718,0.19424929059304527,-0.06860929312832116,,,,
1971,0.10235281106607312,-0.3496291650144583,-0.003555537906410155,-0.11249158340358545,,0.2858320271974032,-0.18355985083198306,-0.42594382123890023,-0.07916678039699183,-0.25544873381627115,0.25471247921435364,-0.1489972691347499,-0.2278029443734639,-0.17654172127664441,0.04510348612458195,-0.07251778153513348,,,,
1972,-0.2646670570172049,0.3343227217066202,-0.5250987792072187,0.40529835027745303,,0.5681299229020635,0.08387162346269739,-0.17531046926502952,0.36574072151839304,-0.0005654833894166628,-0.5394222807129397,0.10585512737241376,0.07182682482338555,-1.0866204270290167,0.4410348193311055,0.23290331144150112,,,,
1973,0.2718955871307695,-0.4778945124041987,0.0880318200764323,-0.2676059924556705,,-0.09911563477105995,0.049113891016273316,-0.22092386135617678,0.12665151809178346,0.214316190932733,0.5626452788880372,0.3207013983290757,-0.6465550177266789,-0.2267004279697082,-0.24699128135035311,-0.47541267740298426,,,,
1974,0.06486230239519006,0.3154197407513482,-0.7001086336065728,-0.22990814187017125,,0.9136621745395912,-0.01025421896849307,-0.2572983383866083,0.11580718784965958,-0.6408042749702721,0.1781757994060497,-0.5344588529475202,-0.48377963412466163,0.2932183272327035,-0.11618675666991736,-0.32971794358171247,,,,
1975,-0.08048801938943544,0.5462411589148574,0.0372138288860606,-0.44371793257651637,,0.16644836958834017,0.1385263611483859,-0.1196025936302982,0.1829986612488072,0.004412403411437325,0.3903335431596023,0.11041237000931688,-0.18547863651931606,-0.8568681137441168,-0.030518088138289417,-0.0343090798187545,,,,
1976,0.004318537060788379,-0.2297845656960657,-0.09457090143568501,-0.4425070722147339,-0.7383630688673781,1.1214300777583828,0.16748740290263306,-0.07404747151953446,0.4785189117232563,-0.13561460934343578,0.358978717747248,-0.029750714277466294,-0.4499009563591711,0.3430485871307808,-0.17311691444523739,-0.298509969281583,-0.1435200573923814,-0.6252621200201893,-0.2506285106892796,0.1921174349937081
1977,-0.5540521318411196,1.2551790202524666,0.5052554433281805,-0.7368376903980742,-0.9442101907533162,-0.6993458075769744,-0.1372139754121182,-0.3512065961298398,-0.02490892684473186,0.1892436729103179,-0.26621722634062384,0.29506676802019804,-0.15587146372938157,-0.31703412273251297,-0.31689357162464443,-0.40459337450574656,-0.23697556926491684,-0.7106181402224038,-0.4555785616990488,0.11076512011369362
